order_date,order_count,month,season
220301,12040,march,winter
220302,10621,march,winter
220303,12668,march,winter
220304,11220,march,winter
220305,12053,march,winter
220306,11391,march,winter
220307,12300,march,winter
220308,11679,march,winter
220309,11908,march,winter
220310,12260,march,winter
220311,10754,march,winter
220312,14315,march,winter
220313,11059,march,winter
220314,11504,march,winter
220315,10832,march,winter
220316,12139,march,winter
220317,11520,march,summer
220318,9013,march,summer
220319,176,march,summer
220320,12547,march,summer
220321,11813,march,summer
220322,12411,march,summer
220323,12332,march,summer
220324,12677,march,summer
220325,12742,march,summer
220326,10885,march,summer
220327,11349,march,summer
220328,12241,march,summer
220329,13051,march,summer
220330,12477,march,summer
220331,12033,march,summer
220401,11596,april,summer
220402,12523,april,summer
220403,12959,april,summer
220404,12388,april,summer
220405,13066,april,summer
220406,13127,april,summer
220407,13097,april,summer
220408,12223,april,summer
220409,11408,april,summer
220410,11214,april,summer
220411,11084,april,summer
220412,12248,april,summer
220413,12049,april,summer
220414,11608,april,summer
220415,11362,april,summer
220416,10979,april,summer
220417,9911,april,summer
220418,11491,april,summer
220419,11732,april,summer
220420,13018,april,summer
220421,12352,april,summer
220422,12431,april,summer
220423,12274,april,summer
220424,12092,april,summer
220425,12466,april,summer
220426,11248,april,summer
220427,11532,april,summer
220428,13299,april,summer
220429,11530,april,summer
220430,11974,april,summer
220501,11581,may,summer
220502,11722,may,summer
220503,11079,may,summer
220504,12857,may,summer
220505,13138,may,summer
220506,12207,may,summer
220507,12581,may,summer
220508,11741,may,summer
220509,11512,may,summer
220510,12200,may,summer
220511,12979,may,summer
220512,12148,may,summer
220513,12125,may,summer
220514,11091,may,summer
220515,11322,may,summer
220516,12347,may,summer
220517,12936,may,summer
220518,13028,may,summer
220519,13079,may,summer
220520,12990,may,summer
220521,13159,may,summer
220522,12314,may,summer
220523,11607,may,summer
220524,11739,may,summer
220525,11790,may,summer
220526,10799,may,summer
220527,10956,may,summer
220528,11405,may,summer
220529,11640,may,summer
220530,12498,may,summer
220531,10971,may,summer
220601,12175,june,summer
220602,12373,june,summer
220603,12326,june,summer
220604,12575,june,summer
220605,12175,june,summer
220606,11881,june,summer
220607,12736,june,summer
220608,13748,june,summer
220609,13014,june,summer
220610,12276,june,summer
220611,13260,june,summer
220612,11695,june,summer
220613,12001,june,summer
220614,13433,june,summer
220615,12378,june,summer
220616,13914,june,summer
220617,13437,june,summer
220618,11585,june,summer
220619,12122,june,summer
220620,12280,june,summer
220621,13945,june,summer
220622,13490,june,summer
220623,12373,june,summer
220624,11837,june,summer
220625,11651,june,summer
220626,12608,june,summer
220627,11957,june,summer
220628,12733,june,summer
220629,12653,june,summer
220630,11918,june,summer
220701,11999,july,summer
220702,11570,july,summer
220703,11686,july,monsoon
220704,11230,july,monsoon
220705,12046,july,monsoon
220706,11440,july,monsoon
220707,11328,july,monsoon
220708,12314,july,monsoon
220709,11538,july,monsoon
220710,11124,july,monsoon
220711,12242,july,monsoon
220712,12482,july,monsoon
220713,13210,july,monsoon
220714,11471,july,monsoon
220715,12760,july,monsoon
220716,12639,july,monsoon
220717,11873,july,monsoon
220718,12134,july,monsoon
220719,12646,july,monsoon
220720,12352,july,monsoon
220721,12009,july,monsoon
220722,12472,july,monsoon
220723,12834,july,monsoon
220724,13112,july,monsoon
220725,13108,july,monsoon
220726,13005,july,monsoon
220727,13288,july,monsoon
220728,12610,july,monsoon
220729,13270,july,monsoon
220730,13263,july,monsoon
220731,14706,july,monsoon
220801,13906,august,monsoon
220802,14071,august,monsoon
220803,13880,august,monsoon
220804,14169,august,monsoon
220805,13775,august,monsoon
220806,12885,august,monsoon
220807,13152,august,monsoon
220808,13650,august,monsoon
220809,13227,august,monsoon
220810,13719,august,monsoon
220811,12304,august,monsoon
220812,10115,august,monsoon
220813,10325,august,monsoon
220814,10564,august,monsoon
220815,11597,august,monsoon
220816,11762,august,monsoon
220817,13241,august,monsoon
220818,14495,august,monsoon
220819,14445,august,monsoon
220820,13022,august,monsoon
220821,13746,august,monsoon
220822,13989,august,monsoon
220823,5072,august,monsoon
220824,57,august,monsoon
